# q/kF, wp(q)/wp(0)
 (1.029859719438877885e+00+0.000000000000000000e+00j), (9.244597484095007367e-01+0.000000000000000000e+00j)
 (1.035671342685370755e+00+0.000000000000000000e+00j), (9.243135474201601420e-01+0.000000000000000000e+00j)
 (1.041482965931863847e+00+0.000000000000000000e+00j), (9.241926373686042417e-01+1.427900620239951772e-22j)
 (1.047294589178356716e+00+0.000000000000000000e+00j), (9.240980098530742204e-01+1.375577181428345612e-22j)
 (1.053106212424849808e+00+0.000000000000000000e+00j), (9.240306943248260962e-01+1.319355665742629697e-22j)
 (1.058917835671342678e+00+0.000000000000000000e+00j), (9.239917600983285073e-01+0.000000000000000000e+00j)
 (1.064729458917835769e+00+0.000000000000000000e+00j), (9.239823185107980397e-01+0.000000000000000000e+00j)
 (1.070541082164328639e+00+0.000000000000000000e+00j), (9.240035252459412041e-01+0.000000000000000000e+00j)
 (1.076352705410821731e+00+0.000000000000000000e+00j), (9.240565828387539149e-01+1.048914254362033671e-22j)
 (1.082164328657314600e+00+0.000000000000000000e+00j), (9.241427433803015568e-01+0.000000000000000000e+00j)
 (1.087975951903807692e+00+0.000000000000000000e+00j), (9.242633114439925412e-01+0.000000000000000000e+00j)
 (1.093787575150300562e+00+0.000000000000000000e+00j), (9.244196472574659484e-01+0.000000000000000000e+00j)
 (1.099599198396793653e+00+0.000000000000000000e+00j), (9.246131701470280406e-01+0.000000000000000000e+00j)
 (1.105410821643286745e+00+0.000000000000000000e+00j), (9.248453622831209753e-01+0.000000000000000000e+00j)
 (1.111222444889779615e+00+0.000000000000000000e+00j), (9.251177727504816817e-01+0.000000000000000000e+00j)
 (1.117034068136272706e+00+0.000000000000000000e+00j), (9.254320219232845535e-01+0.000000000000000000e+00j)
 (1.122845691382765576e+00+0.000000000000000000e+00j), (9.257898057261564340e-01+0.000000000000000000e+00j)
 (1.128657314629258668e+00+0.000000000000000000e+00j), (9.261928837462393149e-01+0.000000000000000000e+00j)
 (1.134468937875751537e+00+0.000000000000000000e+00j), (9.266432046680609380e-01+0.000000000000000000e+00j)
 (1.140280561122244629e+00+0.000000000000000000e+00j), (9.271426250821249715e-01+0.000000000000000000e+00j)
 (1.146092184368737499e+00+0.000000000000000000e+00j), (9.276932505395817374e-01+0.000000000000000000e+00j)
 (1.151903807615230590e+00+0.000000000000000000e+00j), (9.282972604296947372e-01+7.257720044373692314e-28j)
 (1.157715430861723460e+00+0.000000000000000000e+00j), (9.289569413091461891e-01+0.000000000000000000e+00j)
 (1.163527054108216552e+00+0.000000000000000000e+00j), (9.296747152670215009e-01+1.942234765092612009e-27j)
 (1.169338677354709422e+00+0.000000000000000000e+00j), (9.304531459439093766e-01+0.000000000000000000e+00j)
 (1.175150300601202513e+00+0.000000000000000000e+00j), (9.312949519590782987e-01+0.000000000000000000e+00j)
 (1.180961923847695383e+00+0.000000000000000000e+00j), (9.322030222824155832e-01+0.000000000000000000e+00j)
 (1.186773547094188475e+00+0.000000000000000000e+00j), (9.331804339454016217e-01+0.000000000000000000e+00j)
 (1.192585170340681344e+00+0.000000000000000000e+00j), (9.342304725901497964e-01+0.000000000000000000e+00j)
 (1.198396793587174436e+00+0.000000000000000000e+00j), (9.353566564952298101e-01+0.000000000000000000e+00j)
 (1.204208416833667306e+00+0.000000000000000000e+00j), (9.365627649058975157e-01+0.000000000000000000e+00j)
 (1.210020040080160397e+00+0.000000000000000000e+00j), (9.378528717557500505e-01+0.000000000000000000e+00j)
 (1.215831663326653267e+00+0.000000000000000000e+00j), (9.392313862289616289e-01+0.000000000000000000e+00j)
 (1.221643286573146359e+00+0.000000000000000000e+00j), (9.407031021274876448e-01+0.000000000000000000e+00j)
 (1.227454909819639450e+00+0.000000000000000000e+00j), (9.422732587559543571e-01+0.000000000000000000e+00j)
 (1.233266533066132320e+00+0.000000000000000000e+00j), (9.439476171497773738e-01+0.000000000000000000e+00j)
 (1.239078156312625412e+00+0.000000000000000000e+00j), (9.457325571713052215e-01+0.000000000000000000e+00j)
 (1.244889779559118281e+00+0.000000000000000000e+00j), (9.476352036736716000e-01+0.000000000000000000e+00j)
 (1.250701402805611373e+00+0.000000000000000000e+00j), (9.496635942931789254e-01+0.000000000000000000e+00j)
 (1.256513026052104243e+00+0.000000000000000000e+00j), (9.518269088392833366e-01+0.000000000000000000e+00j)
 (1.262324649298597334e+00+0.000000000000000000e+00j), (9.541357940883367084e-01+0.000000000000000000e+00j)
 (1.268136272545090204e+00+0.000000000000000000e+00j), (9.566028392963707994e-01+0.000000000000000000e+00j)
 (1.273947895791583296e+00+0.000000000000000000e+00j), (9.592433179872177362e-01+7.138984298637143225e-28j)
 (1.279759519038076165e+00+0.000000000000000000e+00j), (9.620764120601590363e-01+0.000000000000000000e+00j)
 (1.285571142284569257e+00+0.000000000000000000e+00j), (9.651274361564258220e-01+0.000000000000000000e+00j)
 (1.291382765531062127e+00+0.000000000000000000e+00j), (9.684324494356496560e-01+6.956679709357442732e-25j)
 (1.297194388777555218e+00+0.000000000000000000e+00j), (9.720501694961024564e-01-1.707446317824831660e-12j)
 (1.303006012024048088e+00+0.000000000000000000e+00j), (9.761116945975956138e-01+5.572421640004466953e-12j)
