# q/kF, wp(q)/epsF
 (1.326252505010020233e+00+0.000000000000000000e+00j), (2.099596833102453357e-03+4.486120656298007919e-27j)
 (1.332064128256513102e+00+0.000000000000000000e+00j), (2.092860176947759603e-03+4.713394549094129862e-27j)
 (1.337875751503005972e+00+0.000000000000000000e+00j), (2.086197854450497907e-03+0.000000000000000000e+00j)
 (1.343687374749499286e+00+0.000000000000000000e+00j), (2.079617715887107591e-03+0.000000000000000000e+00j)
 (1.349498997995992156e+00+0.000000000000000000e+00j), (2.073128293577539919e-03+0.000000000000000000e+00j)
 (1.355310621242485025e+00+0.000000000000000000e+00j), (2.066738880416371139e-03+0.000000000000000000e+00j)
 (1.361122244488978339e+00+0.000000000000000000e+00j), (2.060459620406204437e-03+0.000000000000000000e+00j)
 (1.366933867735470987e+00+0.000000000000000000e+00j), (2.054301613599015044e-03-6.441334127064132516e-27j)
 (1.372745490981964078e+00+0.000000000000000000e+00j), (2.048277038473621248e-03+0.000000000000000000e+00j)
 (1.378557114228456948e+00+0.000000000000000000e+00j), (2.042399295603682888e-03+0.000000000000000000e+00j)
 (1.384368737474950040e+00+0.000000000000000000e+00j), (2.036683177583454522e-03+0.000000000000000000e+00j)
 (1.390180360721442909e+00+0.000000000000000000e+00j), (2.031145071701433678e-03+0.000000000000000000e+00j)
 (1.395991983967936001e+00+0.000000000000000000e+00j), (2.025803203973780640e-03+0.000000000000000000e+00j)
 (1.401803607214428871e+00+0.000000000000000000e+00j), (2.020677936164690710e-03+0.000000000000000000e+00j)
 (1.407615230460921962e+00+0.000000000000000000e+00j), (2.015792131803593405e-03+0.000000000000000000e+00j)
 (1.413426853707414832e+00+0.000000000000000000e+00j), (2.011171613742406255e-03+0.000000000000000000e+00j)
 (1.419238476953907924e+00+0.000000000000000000e+00j), (2.006845745821604719e-03+0.000000000000000000e+00j)
 (1.425050100200401015e+00+0.000000000000000000e+00j), (2.002848187119086066e-03+0.000000000000000000e+00j)
 (1.430861723446893885e+00+0.000000000000000000e+00j), (1.999217893485354461e-03+0.000000000000000000e+00j)
 (1.436673346693386755e+00+0.000000000000000000e+00j), (1.996000486345773928e-03+0.000000000000000000e+00j)
 (1.442484969939879846e+00+0.000000000000000000e+00j), (1.993250191303911310e-03+0.000000000000000000e+00j)
 (1.448296593186372716e+00+0.000000000000000000e+00j), (1.991032710019688661e-03+0.000000000000000000e+00j)
 (1.454108216432865808e+00+0.000000000000000000e+00j), (1.989429730124175118e-03-1.016222182007873735e-26j)
 (1.459919839679358677e+00+0.000000000000000000e+00j), (1.988546704537119073e-03+0.000000000000000000e+00j)
 (1.465731462925851769e+00+0.000000000000000000e+00j), (1.988526802178617377e-03+8.739752918012631241e-23j)
 (1.471543086172344861e+00+0.000000000000000000e+00j), (1.989584938661860449e-03+0.000000000000000000e+00j)
 (1.477354709418837730e+00+0.000000000000000000e+00j), (1.992108326791889369e-03+0.000000000000000000e+00j)
 (1.483166332665330822e+00+0.000000000000000000e+00j), (1.996028715538584932e-03-3.566551585507343410e-07j)
 (1.488977955911823692e+00+0.000000000000000000e+00j), (1.999544340240405962e-03-1.006810106275095574e-05j)
