# q/kF, int w**0 * S(q; w) dw
2.709999999999999964e+00,1.621561171102954280e+00
2.719999999999999751e+00,1.608044564634659723e+00
2.729999999999999982e+00,1.594961468312540598e+00
2.739999999999999769e+00,1.582292609019844809e+00
2.749999999999999556e+00,1.570020012468300363e+00
2.759999999999999787e+00,1.558126839409100128e+00
2.770000000000000018e+00,1.546597097908241070e+00
2.779999999999999805e+00,1.535415544604856075e+00
2.790000000000000036e+00,1.524567819486696951e+00
2.799999999999999822e+00,1.514040453089689375e+00
2.810000000000000053e+00,1.503820746563328203e+00
2.819999999999999396e+00,1.493896662954852239e+00
2.829999999999999627e+00,1.484256662529262139e+00
2.839999999999999858e+00,1.474889784090868794e+00
2.849999999999999645e+00,1.465785647886076681e+00
2.859999999999999876e+00,1.456934441670662217e+00
2.869999999999999662e+00,1.448326866821616710e+00
2.879999999999999893e+00,1.439954075355851515e+00
2.889999999999999236e+00,1.431807629165863682e+00
2.899999999999999911e+00,1.423879449868723057e+00
2.909999999999999698e+00,1.416161811744673926e+00
2.919999999999999929e+00,1.408647353594582929e+00
2.929999999999999716e+00,1.401329066845588889e+00
2.939999999999999503e+00,1.394200269051371510e+00
2.949999999999999734e+00,1.387254578710613195e+00
2.959999999999999964e+00,1.380485895332405732e+00
2.969999999999999751e+00,1.373888382629863347e+00
2.979999999999999982e+00,1.367456452980105652e+00
2.989999999999999769e+00,1.361184752889636584e+00
3.000000000000000000e+00,1.355068149900332974e+00
3.009999999999999343e+00,1.349101721182847990e+00
3.020000000000000018e+00,1.343280743528380228e+00
3.029999999999999805e+00,1.337600684141568630e+00
3.040000000000000036e+00,1.332057191796275575e+00
3.049999999999999822e+00,1.326646088228731868e+00
3.060000000000000497e+00,1.321363359705012064e+00
3.069999999999999840e+00,1.316205148514112855e+00
3.080000000000000071e+00,1.311167744239414512e+00
3.089999999999999858e+00,1.306247575733045618e+00
3.099999999999999645e+00,1.301441206012273311e+00
3.109999999999999876e+00,1.296745330479770475e+00
3.119999999999999662e+00,1.292156772370388840e+00
3.129999999999999449e+00,1.287672467978243418e+00
3.139999999999999680e+00,1.283289452856781754e+00
3.149999999999999911e+00,1.279004870460756171e+00
3.159999999999999698e+00,1.274815979749295058e+00
3.169999999999999929e+00,1.270720120432900391e+00
3.179999999999999716e+00,1.266714699535896438e+00
3.189999999999999947e+00,1.262797240262466758e+00
3.199999999999999289e+00,1.258965348746649671e+00
3.209999999999999964e+00,1.255216675061355591e+00
3.219999999999999751e+00,1.251549002418926193e+00
3.229999999999999982e+00,1.247960177925893976e+00
3.239999999999999769e+00,1.244448125984306763e+00
3.250000000000000444e+00,1.241010924072651900e+00
3.259999999999999787e+00,1.237646618097578699e+00
3.270000000000000018e+00,1.234353314970504378e+00
3.279999999999999805e+00,1.231129067326093285e+00
3.290000000000000036e+00,1.227972057625118740e+00
3.299999999999999822e+00,1.224880516400581154e+00
3.310000000000000053e+00,1.221852831575691578e+00
3.319999999999999396e+00,1.218887503254780347e+00
3.330000000000000071e+00,1.215983140307824506e+00
3.339999999999999858e+00,1.213138076875298399e+00
3.349999999999999645e+00,1.210350693345923823e+00
3.359999999999999876e+00,1.207619416882286911e+00
3.369999999999999662e+00,1.204942983529052603e+00
3.379999999999999893e+00,1.202320314816497815e+00
3.389999999999999236e+00,1.199750188858326627e+00
3.399999999999999911e+00,1.197231033656673160e+00
3.409999999999999698e+00,1.194761370713681936e+00
3.419999999999999929e+00,1.192340159197938787e+00
3.429999999999999716e+00,1.189966721647734316e+00
3.439999999999999503e+00,1.187639769688422664e+00
3.449999999999999734e+00,1.185357743016901555e+00
3.459999999999999964e+00,1.183119567059918165e+00
3.469999999999999751e+00,1.180924743689666823e+00
3.479999999999999982e+00,1.178772334481370976e+00
3.489999999999999769e+00,1.176660712040435097e+00
3.500000000000000000e+00,1.174588906986547832e+00
3.509999999999999343e+00,1.172556761901015321e+00
3.520000000000000018e+00,1.170563102028745028e+00
3.529999999999999805e+00,1.168606364032967582e+00
3.540000000000000036e+00,1.166686178760112824e+00
3.549999999999999822e+00,1.164802368072360927e+00
3.560000000000000497e+00,1.162953068277169155e+00
3.569999999999999840e+00,1.161137495844535961e+00
3.580000000000000071e+00,1.159356028899100943e+00
3.589999999999999858e+00,1.157606954814722977e+00
3.599999999999999645e+00,1.155889203307642887e+00
3.609999999999999876e+00,1.154203399114906325e+00
3.619999999999999662e+00,1.152547836895996713e+00
3.629999999999999449e+00,1.150921479759494215e+00
3.639999999999999680e+00,1.149325149864413032e+00
3.649999999999999911e+00,1.147756824370085527e+00
3.659999999999999698e+00,1.146216036029090724e+00
3.669999999999999929e+00,1.144703381854303315e+00
3.679999999999999716e+00,1.143216495049465875e+00
3.689999999999999947e+00,1.141756095272321136e+00
3.699999999999999289e+00,1.140321425637832231e+00
3.709999999999999964e+00,1.138910865493744096e+00
3.719999999999999751e+00,1.137525815845883637e+00
3.729999999999999982e+00,1.136163732456937803e+00
3.739999999999999769e+00,1.134825455331572863e+00
3.749999999999999556e+00,1.133510126942988805e+00
3.759999999999999787e+00,1.132216522062660324e+00
3.770000000000000018e+00,1.130945836408023819e+00
3.779999999999999805e+00,1.129695367374300652e+00
3.790000000000000036e+00,1.128467097042072043e+00
3.799999999999999822e+00,1.127258270560224096e+00
3.810000000000000053e+00,1.126070378250880966e+00
3.819999999999999396e+00,1.124901550552105833e+00
3.830000000000000071e+00,1.123752293389520984e+00
3.839999999999999858e+00,1.122621756779756508e+00
3.849999999999999645e+00,1.121509576940304953e+00
3.859999999999999876e+00,1.120415661781641203e+00
3.869999999999999662e+00,1.119339129507164188e+00
3.879999999999999893e+00,1.118280262387706614e+00
3.889999999999999236e+00,1.117238038542434087e+00
3.899999999999999911e+00,1.116212673785813569e+00
